sheet_name,indicatorCode,typeOptions,dataelementuid,dataset,validAges,validSexes,validKPs,categoryoptioncombouid
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,30-34,Male,,JqROtRoCBHP
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,35-39,Female,,GNrMxECWqDp
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,35-39,Male,,aReRE4UUoKW
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,40-44,Female,,XEIYBLvAzIb
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,40-44,Male,,pVFmF7dKnTq
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,45-49,Female,,pW32ZkMbRSO
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,45-49,Male,,BiJwnz9vw41
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,50+,Female,,mN07ApGjAKh
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,50+,Male,,rL9fEh5MSHf
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,01-04,Female,,IsuCX2xSvKQ
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,01-04,Male,,o3zyOwZyxi7
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,05-09,Female,,hLjLWfjGWpK
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,05-09,Male,,uPn8wdfqpnK
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,10-14,Female,,T7F0DwyrbBV
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,10-14,Male,,vUUk6jQrXdb
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,15-19,Female,,wem5QqoRkkh
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,15-19,Male,,VemdciGizc8
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,20-24,Female,,V6ykris04Kr
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,20-24,Male,,dywO69YrrUq
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,25-29,Female,,zDtqexNpaj8
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,25-29,Male,,ClRyt3CO2CU
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,30-34,Female,,ewxqtAm93uz
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,30-34,Male,,rHymehDGb3n
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,35-39,Female,,ew4H9zzs0GI
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,35-39,Male,,eVb1NqOEUoq
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,40-44,Female,,Ys91wCxDGwp
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,40-44,Male,,Lq9WappoJ2W
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,45-49,Female,,oBVan2Rcsdj
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,45-49,Male,,zzHeHMx5Mh1
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,50+,Female,,fpnwXTQGmD5
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewPos,DSD,zjWvbsJM43i,MER,50+,Male,,hjgWcKahM96
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,01-04,Female,,zRdpU5xlOQI
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,01-04,Male,,fu8H9OdUyZ6
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,05-09,Female,,XqbMOMJhdoo
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,05-09,Male,,WUOsioCfTH1
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,10-14,Female,,tNnfZGycqoK
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,10-14,Male,,FsaFnYgYYiE
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,15-19,Female,,HTuFkqNl46u
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,15-19,Male,,EsEgz70ex5M
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,20-24,Female,,XDgqQlbNOma
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,20-24,Male,,GcAEOo6pgjG
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,25-29,Female,,fN5EhNea5na
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,25-29,Male,,O4M73r7CEs1
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,30-34,Female,,GJBPjJZBrRn
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,30-34,Male,,JqROtRoCBHP
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,35-39,Female,,GNrMxECWqDp
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,35-39,Male,,aReRE4UUoKW
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,40-44,Female,,XEIYBLvAzIb
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,40-44,Male,,pVFmF7dKnTq
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,45-49,Female,,pW32ZkMbRSO
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,45-49,Male,,BiJwnz9vw41
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,50+,Female,,mN07ApGjAKh
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewNeg,DSD,uh9PhdnIkHp,MER,50+,Male,,rL9fEh5MSHf
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,01-04,Female,,IsuCX2xSvKQ
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,01-04,Male,,o3zyOwZyxi7
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,05-09,Female,,hLjLWfjGWpK
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,05-09,Male,,uPn8wdfqpnK
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,10-14,Female,,T7F0DwyrbBV
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,10-14,Male,,vUUk6jQrXdb
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,15-19,Female,,wem5QqoRkkh
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,15-19,Male,,VemdciGizc8
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,20-24,Female,,V6ykris04Kr
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,20-24,Male,,dywO69YrrUq
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,25-29,Female,,zDtqexNpaj8
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,25-29,Male,,ClRyt3CO2CU
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,30-34,Female,,ewxqtAm93uz
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,30-34,Male,,rHymehDGb3n
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,35-39,Female,,ew4H9zzs0GI
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,35-39,Male,,eVb1NqOEUoq
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,40-44,Female,,Ys91wCxDGwp
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,40-44,Male,,Lq9WappoJ2W
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,45-49,Female,,oBVan2Rcsdj
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,45-49,Male,,zzHeHMx5Mh1
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,50+,Female,,fpnwXTQGmD5
HTS,HTS_INDEX_FAC.N.Age/Sex/Result.20T.NewPos,DSD,uh9PhdnIkHp,MER,50+,Male,,hjgWcKahM96
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,15-19,Female,,xy2Ro0DEnno
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,15-19,Male,,vz8K8NJQgYJ
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,20-24,Female,,g43OmUstBee
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,20-24,Male,,YLVyxSY3Nvd
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,25-29,Female,,pIjHS6thtwp
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,25-29,Male,,VzirZhHDpLe
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,30-34,Female,,F33tYtY3Bl8
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,30-34,Male,,rbsn79BMKpL
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,35-39,Female,,ErYw03iVVhc
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,35-39,Male,,uUPciJecI7o
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,40-44,Female,,zhhtsN4sAc1
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,40-44,Male,,V8HqsYkd0Nw
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,45-49,Female,,W1io1dmZjqD
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,45-49,Male,,XkEeTXulydb
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,50+,Female,,KGDQJklPslk
HTS,HTS_RECENT.D.Age/Sex/HIVIndication.20T.Assay,DSD,AFQzd82wz5o,MER,50+,Male,,HcT85Q6t28E
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,10-14,Female,,vpJXRljbooI
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,10-14,Male,,WvcKCUGBlWW
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,15-19,Female,,nN1BTeF5WuG
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,15-19,Male,,Mvt3gRxWbl8
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,20-24,Female,,NyElGSpWLWv
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,20-24,Male,,wS6c6pKnBzB
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,25-29,Female,,ptqjXkxioQB
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,25-29,Male,,cakoLejWzwq
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,30-34,Female,,sQ2iBuN22yj
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,30-34,Male,,RZKQIoa9koW
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,35-39,Female,,U65bkLSdUp7
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,35-39,Male,,GoGACmQl6uY
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,40-44,Female,,U9RGD1yB6AS
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,40-44,Male,,iUqbs9vu7Uu
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,45-49,Female,,UEccZfdUNLf
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,45-49,Male,,gqPrEjurqem
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,50+,Female,,m9JzOvqcfIX
HTS,HTS_SELF.N.Age/Sex/HIVSelfTest.20T.Directly_Assisted,DSD,tsiA8zWjqip,MER,50+,Male,,X7NYFk3xhP8
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,10-14,Female,,ZlfvMsPqqmT
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,10-14,Male,,ey60Eh4RyK9
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,15-19,Female,,tbwp7QwAXxa
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,15-19,Male,,rEyueo9TR84
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,20-24,Female,,mOXqNYPrtUD
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,20-24,Male,,iPgWd22TJoU
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,25-29,Female,,Y5oW92HtesZ
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,25-29,Male,,yrwFtriUxF7
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,30-34,Female,,onyrqPv9KNE
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,30-34,Male,,QKbiiiEUYIO
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,35-39,Female,,d20MZrn4Eln
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,35-39,Male,,F3VzQk7J54W
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,40-44,Female,,k7RAtvkyMUR
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,40-44,Male,,O9nOl3oQyBF
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,45-49,Female,,VPru2f26ZSB
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,45-49,Male,,Oyo1mxlQwOh
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,50+,Female,,FrSv7fuPqvi
HTS,HTS_SELF.N.HIVSelfTest.20T.Unassisted,DSD,tsiA8zWjqip,MER,50+,Male,,yy0VIRCYJy9
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,01-04,Female,,prSfkXlKE2r
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,01-04,Male,,yDfHPRaDxwe
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,05-09,Female,,PFWJho4V0Bq
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,05-09,Male,,X8pGUJitiVE
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,10-14,Female,,frIsAnU6KOZ
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,10-14,Male,,RnKGfzcpePu
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,15-19,Female,,ltwvGENFQ0F
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,15-19,Male,,QZCuRi4MOLN
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,20-24,Female,,hyVPPHNEwLB
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,20-24,Male,,az6WUd9cNW8
HTS,HTS_TST_EmergencyWard.N.Age/Sex/Result.20T.Negative,DSD,Ea3rt2Nb0QG,MER,25-29,Female,,TU97qv4vJ5O
